SKU,FIRST_MINIMUM_PRICE,SECOND_MINIMUM_PRICE
11348,255,377
11349,239,305
11350,225,258
11351,450,475
11352,320,411
11353,350,375
11354,325,390
11355,390,390
11356,260,280
11357,383,385
11358,499,650
11359,119,127
11360,140,145
11361,80,127
11362,132,175
11363,135,139
11364,139,145
11365,425,475
11366,425,475
11367,350,443
11368,395,455
11369,435,450
11370,509,525
11371,873,875
11372,899,1050
11373,398,492
11374,65,125
11376,295,304
11377,185,199
11378,180,215
11379,120,162
11380,158,200
11381,120,125
11382,210,217
11383,312,315
11384,150,218
11385,540,599
11386,125,270
11388,297,359
11389,354,382
11390,189,195
11391,189,195
11392,199,239
11393,159,180
11394,165,169
11395,311,335
11397,171,220
11399,190,190
11400,215,215
11401,109,109
11402,162,175
11403,209,209
11404,155,155
11405,275,299
11406,228,238
11407,119,119
11408,245,250
11409,219,228
11410,206,209
11411,129,129
11412,135,140
11413,195,195
11414,45,69
11415,234,248
11416,144,149
11417,525,575
11418,585,849
11419,819,825
11420,407,460
11421,548,645
11422,215,219
11423,188,221
11424,177,177
11425,195,197
11426,159,219
11427,375,380
11428,133,135
11429,200,210
11430,239,241
11431,179,235
11432,199,245
11433,278,284
11434,189,202
11435,400,575
11436,621,625
11437,415,425
11438,1099,1195
11439,799,875
11440,399,895
11441,695,810
11442,750,775
11444,550,750
11445,550,750
11446,889,899
11448,1333,1333
11449,725,725
11451,845,846
11452,835,863
11453,425,435
11454,899,899
11455,896,899
11456,599,633
11458,392,2517
11459,84,129
11460,449,450
11461,459,495
11462,557,
11463,557,650
11464,535,560
11465,789,795
11466,999,1076
11467,475,475
11468,480,495
11469,550,550
11470,549,575
11471,549,869
11472,348,349
11473,158,165
11476,185,190
11477,152,161
11478,133,140
11479,389,400
11480,481,490
11481,328,345
11482,139,145
11483,139,145
11484,170,195
11485,170,195
11486,309,317
11487,299,299
11488,175,179
11489,180,188
11491,275,275
11492,199,200
11493,319,332
11494,325,373
11495,139,170
11496,185,200
11497,140,230
11498,134,139
11499,195,200
11500,345,375
11501,137,175
11502,139,164
11503,125,135
11505,175,179
11506,139,144
11507,177,185
11508,999,1040
11509,450,475
11510,315,493
11511,390,495
11512,825,828
11513,495,499
11514,485,495
11515,395,476
11516,450,500
11517,848,848
11518,790,799
11519,295,304
11520,325,588
11522,159,171
11523,190,195
11524,210,225
11525,162,162
11526,288,288
11527,241,245
11528,1099,1199
11529,425,500
11530,449,557
11531,420,479
11532,495,499
11533,449,450
11534,525,545
11535,695,695
11536,695,695
11537,575,579
11539,499,721
11540,250,259
11541,340,349
11542,225,234
11543,248,249
11551,275,290
11552,475,479
11553,245,269
11554,215,225
11555,269,389
11556,390,405
11557,385,385
11559,145,152
11560,1895,2176
11561,6319,
11562,2530,5873
11563,2399,2500
11564,3200,3400
11565,135,135
11566,139,165
11567,119,132
11568,99,177
11570,245,259
11571,190,190
11572,73,88
11573,73,88
11574,225,228
11575,142,180
11576,150,152
11577,129,162
11578,120,129
11579,115,129
11580,152,155
11581,75,137
11582,105,150
11583,209,209
11584,209,210
11585,82,125
11592,158,163
11593,395,405
11594,325,329
11595,99,189
11596,196,250
11597,202,220
11598,169,175
11599,145,185
11603,135,247
11613,150,166
11614,109,180
11615,260,275
11617,127,
